title,type_code,faction_code,pack_code,stripped_text
Sports Hopper,hardware,neutral-runner,si,"+1 link trash: Draw 3 cards."
Crypsis,program,neutral-runner,core,"Interface -> 1 credit: Break 1 subroutine. 1 credit: +1 strength. click: Place 1 virus counter on this program. Whenever an encounter ends, if you used this program to break a subroutine during that encounter, remove 1 hosted virus counter or trash this program."
Armitage Codebusting,resource,neutral-runner,core,"Place 12 credits from the bank on Armitage Codebusting when it is installed. When there are no credits left on Armitage Codebusting, trash it. click: Take 2 credits from Armitage Codebusting."
Bazaar,resource,neutral-runner,si,"Whenever you install a piece of hardware from your grip, you may install another copy of that hardware from your grip (paying all costs)."
Bloo Moose,resource,neutral-runner,fm,"When your turn begins, you may remove 1 card in the heap from the game. If you do, gain 2 credits."
Citadel Sanctuary,resource,neutral-runner,in,"If you are tagged when your turn ends, force the Corp to 'Trace[1]. If unsuccessful, the Runner removes 1 tag.' trash,trash all cards in your grip: Prevent all meat damage."
Corporate Defector,resource,neutral-runner,cd,"Whenever the Corp draws a card with the basic action, reveal that card."
Councilman,resource,neutral-runner,dag,"Whenever the Corp rezzes an asset or upgrade, you may pay credits equal to its rez cost and trash Councilman. If you do, derez that asset or upgrade. The Corp cannot rez it for the remainder of this turn."
Daily Casts,resource,neutral-runner,cac,"When you install this resource, load 8 credits onto it. When it is empty, trash it. When your turn begins, take 2 credits from this resource."
Kati Jones,resource,neutral-runner,hs,"You cannot use Kati Jones more than once per turn. click: Place 3 credits from the bank on Kati Jones. click: Take all credits from Kati Jones."
New Angeles City Hall,resource,neutral-runner,fp,"2 credits: Avoid 1 tag. Trash New Angeles City Hall when you steal an agenda."
Officer Frank,resource,neutral-runner,td,"trash, 1 credit: The Corp trashes 2 cards from HQ at random. Use this ability only if you suffered meat damage this turn."
Public Sympathy,resource,neutral-runner,ce,"Your maximum hand size is increased by 2."
Symmetrical Visage,resource,neutral-runner,val,"The first time you spend click to draw 1 card (not through a card ability) each turn, gain 1 credit."
Technical Writer,resource,neutral-runner,dad,"Whenever you install a piece of hardware or a program, place 1 credit from the bank on Technical Writer. click,trash: Take all credits from Technical Writer."
The Turning Wheel,resource,neutral-runner,tlm,"Whenever a run on HQ or R&D ends, place 1 power counter on this resource if you stole no agendas during that run. 2 hosted power counters: Choose HQ or R&D. For the remainder of this run, access 1 additional card whenever you breach that server."
Underworld Contact,resource,neutral-runner,asis,"When your turn begins, gain 1 credit if you have at least 2 link."
Utopia Shard,resource,neutral-runner,atr,"Whenever you make a successful run on HQ, instead of breaching HQ, you may install this resource from your grip, ignoring all costs. trash: The Corp discards 2 cards from HQ at random. Limit 1 per deck."
Cybernetics Division: Humanity Upgraded,identity,haas-bioroid,cc,"Each player's maximum hand size is reduced by 1."
Haas-Bioroid: Stronger Together,identity,haas-bioroid,wla,"All bioroid ice has +1 strength."
NEXT Design: Guarding the Net,identity,haas-bioroid,cac,"Before taking your first turn, you may install up to 3 pieces of ice, with no more than a single piece of ice per server. Draw until you have 5 cards in HQ."
Sportsmetal: Go Big or Go Home,identity,haas-bioroid,rar,"Whenever an agenda is scored or stolen, gain 2 credits or draw 2 cards."
Accelerated Beta Test,agenda,haas-bioroid,core,"When you score Accelerated Beta Test, you may look at the top 3 cards of R&D. If any of those cards are ice, you may install and rez them, ignoring all costs. Trash the rest of the cards you looked at."
Elective Upgrade,agenda,haas-bioroid,td,"Place 2 agenda counters on Elective Upgrade when you score it. click, hosted agenda counter: Gain click click. Use this ability only once per turn."
Hyperloop Extension,agenda,haas-bioroid,rar,"When Hyperloop Extension is scored or stolen, the Corp gains 3 credits."
Project Ares,agenda,haas-bioroid,om,"When you score this agenda, the Runner trashes 1 of their installed cards for each hosted advancement counter past 4. If the Runner trashes at least 1 card this way, take 1 bad publicity."
Project Vitruvius,agenda,haas-bioroid,ce,"When you score this agenda, place 1 agenda counter on it for each hosted advancement counter past 3. Hosted agenda counter: Add 1 card from Archives to HQ."
Project Wotan,agenda,haas-bioroid,cac,"Place 3 agenda counters on Project Wotan when you score it. Hosted agenda counter: Choose a rezzed piece of bioroid ice currently being approached. For the remainder of this run, that ice gains 'Subroutine End the run.' after all its other subroutines."
Remote Enforcement,agenda,haas-bioroid,win,"When you score Remote Enforcement, you may search R&D for a piece of ice, install it protecting a remote server (paying its install cost), and rez it, ignoring its rez cost, then shuffle R&D."
Research Grant,agenda,haas-bioroid,bb,"When you score Research Grant, you may score another copy of Research Grant that is installed."
Sentinel Defense Program,agenda,haas-bioroid,cac,"Whenever the Runner suffers at least 1 core damage, do 1 net damage."
Archived Memories,operation,haas-bioroid,core,"Add 1 card from Archives to HQ."
Biotic Labor,operation,haas-bioroid,core,"Gain click click."
Fast Break,operation,haas-bioroid,rar,"Gain X credits. Draw up to X cards. Install up to X cards in the root of and/or protecting a single remote server. X is equal to the number of agendas in the Runner's score area."
Game Changer,operation,haas-bioroid,rar,"Gain click for each agenda in the Runner's score area. Remove Game Changer from the game instead of trashing it."
Green Level Clearance,operation,haas-bioroid,asis,"Gain 3 credits and draw 1 card."
Hellion Alpha Test,operation,haas-bioroid,st,"Play only if the Runner installed a resource during their last turn. Trace[2]. If successful, add 1 installed resource to the top of the stack. If unsuccessful, take 1 bad publicity."
Kill Switch,operation,haas-bioroid,tdatd,"This operation is not trashed until another current is played or an agenda is stolen. While the Runner is accessing an agenda in R&D, they must reveal it. Whenever an agenda is accessed or scored, Trace[3]. If successful, do 1 core damage."
Load Testing,operation,haas-bioroid,so,"When the Runner's next turn begins, they lose click."
O₂ Shortage,operation,haas-bioroid,fm,"The Runner may trash 1 card from the grip at random. If they do not, gain click click."
Peak Efficiency,operation,haas-bioroid,uao,"Gain 1 credit for each rezzed piece of ice."
Shipment from MirrorMorph,operation,haas-bioroid,core,"Install up to 3 cards from HQ (one at a time and paying all install costs)."
Ultraviolet Clearance,operation,haas-bioroid,td,"As an additional cost to play this operation, spend click click. Gain 10 credits and draw 4 cards. You may install 1 card from HQ."
Adonis Campaign,asset,haas-bioroid,core,"Put 12 credits from the bank on Adonis Campaign when rezzed. When there are no credits left on Adonis Campaign, trash it. Take 3 credits from Adonis Campaign when your turn begins."
Aggressive Secretary,asset,haas-bioroid,core,"Aggressive Secretary can be advanced. If you pay 2 credits when the Runner accesses Aggressive Secretary, trash 1 program for each advancement token on Aggressive Secretary."
Encryption Protocol,asset,haas-bioroid,ta,"The trash cost of all installed cards is increased by 1."
Haas Arcology AI,asset,haas-bioroid,cac,"Haas Arcology AI can be advanced only while unrezzed. click, hosted advancement token: Gain click click. Use this ability only once per turn."
Isabel McGuire,asset,haas-bioroid,mt,"click: Add 1 of your installed cards to HQ."
MCA Austerity Policy,asset,haas-bioroid,cd,"click: Place 1 power counter on this asset. When the Runner's next turn begins, they lose click. Use this ability only once per turn. click, trash, 3 hosted power counters: Gain click click click click."
Ronald Five,asset,haas-bioroid,oh,"Whenever the Runner trashes a Corp card (including this asset), they lose click."
Test Ground,asset,haas-bioroid,uw,"Test Ground can be advanced. trash: Derez 1 card for each advancement token on Test Ground."
Thomas Haas,asset,haas-bioroid,cac,"Thomas Haas can be advanced. trash: Gain 2 credits for each advancement token on Thomas Haas."
Warden Fatuma,asset,haas-bioroid,win,"Each piece of rezzed bioroid ice gains 'Subroutine The Runner loses click, if able.' before all of its other subroutines."
Ash 2X3ZB9CY,upgrade,haas-bioroid,wla,"Whenever there is a successful run on this server, Trace[4]. If successful, the Runner cannot access any cards other than Ash 2X3ZB9CY for the remainder of this run."
Awakening Center,upgrade,haas-bioroid,cac,"Awakening Center can host bioroid ice (each piece is installed facedown, ignoring all install costs). Whenever the Runner passes all of the ice protecting this server, you may rez a piece of ice on Awakening Center, lowering the rez cost by 7 credits, to force the Runner to encounter it. Trash that ice after the run is completed."
Corporate Troubleshooter,upgrade,haas-bioroid,core,"X credits, trash: Choose 1 rezzed piece of ice protecting this server. That ice gets +X strength for the remainder of the turn."
Panic Button,upgrade,haas-bioroid,tc,"Install only in the root of HQ. 1 credit: Draw 1 card. Use this ability only during a run on HQ."
Ruhr Valley,upgrade,haas-bioroid,fp,"As an additional cost to make a run on this server, the Runner must spend click. Limit 1 region per server."
Ryon Knight,upgrade,haas-bioroid,cc,"trash: Do 1 core damage. Use this ability only during a run against this server and only if the Runner has no unspent click."
Strongbox,upgrade,haas-bioroid,fal,"Persistent -> As an additional cost to steal an agenda from this server or its root, the Runner must spend click. (If the Runner trashes this card while accessing it, this ability still applies for the remainder of this run.)"
Architect,ice,haas-bioroid,uao,"Players cannot trash this ice. Subroutine Look at the top 5 cards of R&D. You may install 1 of those cards, ignoring the install cost. Subroutine You may install 1 card from Archives or HQ."
Eli 1.0,ice,haas-bioroid,fp,"Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine End the run. Subroutine End the run."
Enforcer 1.0,ice,haas-bioroid,oh,"As an additional cost to rez this ice, forfeit 1 agenda. Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Trash 1 installed program. Subroutine Do 1 core damage. Subroutine Trash 1 installed console. Subroutine Trash all installed virtual resources."
Executive Functioning,ice,haas-bioroid,td,"Subroutine Trace[4]. If successful, do 1 core damage."
Fairchild 1.0,ice,haas-bioroid,23s,"Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine The Runner must pay 1 credit or trash 1 of their installed cards. Subroutine The Runner must pay 1 credit or trash 1 of their installed cards."
Fenris,ice,haas-bioroid,tc,"When you rez this ice, take 1 bad publicity. Subroutine Do 1 core damage. Subroutine End the run."
Gyri Labyrinth,ice,haas-bioroid,dt,"Subroutine The Runner's maximum hand size is reduced by 2 until the beginning of the Corp's next turn."
Heimdall 1.0,ice,haas-bioroid,core,"Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Do 1 core damage. Subroutine End the run. Subroutine End the run."
Hudson 1.0,ice,haas-bioroid,mt,"Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine The Runner cannot access more than 1 card during this run. Subroutine The Runner cannot access more than 1 card during this run."
Ichi 1.0,ice,haas-bioroid,core,"Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Trash 1 installed program. Subroutine Trash 1 installed program. Subroutine Trace[1]. If successful, do 1 core damage and give the Runner 1 tag."
Ichi 2.0,ice,haas-bioroid,cac,"Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Subroutine Trash 1 installed program. Subroutine Trash 1 installed program. Subroutine Trace[3]. If successful, do 1 core damage and give the Runner 1 tag."
NEXT Bronze,ice,haas-bioroid,om,"NEXT Bronze has +1 strength for each rezzed piece of NEXT ice. Subroutine End the run."
NEXT Diamond,ice,haas-bioroid,ka,"The rez cost of this ice is lowered by 1 credit for each other rezzed piece of NEXT ice. Subroutine Do 1 core damage. Subroutine Do 1 core damage. Subroutine Trash 1 installed Runner card."
NEXT Gold,ice,haas-bioroid,val,"X is the number of rezzed NEXT ice. Subroutine Do X net damage. Subroutine Trash X programs."
NEXT Silver,ice,haas-bioroid,up,"NEXT Silver gains 'Subroutine End the run.' for each rezzed piece of NEXT ice."
Rototurret,ice,haas-bioroid,core,"Subroutine Trash 1 installed program. Subroutine End the run."
Seidr Adaptive Barrier,ice,haas-bioroid,so,"Seidr Adaptive Barrier has +1 strength for each piece of ice protecting this server. Subroutine End the run."
Sherlock 2.0,ice,haas-bioroid,23s,"Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Subroutine Trace[4]. If successful, add 1 installed program to the bottom of the Runner's stack. Subroutine Trace[4]. If successful, add 1 installed program to the bottom of the Runner's stack. Subroutine Give the Runner 1 tag."
Vikram 1.0,ice,haas-bioroid,kg,"Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine The Runner cannot use programs for the remainder of this run. Subroutine Trace[4]. If successful, do 1 core damage. Subroutine Trace[4]. If successful, do 1 core damage."
Viktor 1.0,ice,haas-bioroid,core,"Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Do 1 core damage. Subroutine End the run."
Zed 2.0,ice,haas-bioroid,dc,"Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Subroutine Trash 1 installed piece of hardware. Subroutine Trash 1 installed piece of hardware. Subroutine If the Runner has lost click to break a subroutine during this run, do 2 core damage."
Jinteki Biotech: Life Imagined,identity,jinteki,val,"Before taking your first turn, you may switch this identity with any copy of Jinteki Biotech. click click click: Flip this identity. Side 1: When you flip this identity, do 2 net damage. Side 2: When you flip this identity, shuffle all cards in Archives into R&D. Side 3: When you flip this identity, place 4 advancement counters on 1 installed card that you can advance."
Jinteki: Personal Evolution,identity,jinteki,core,"Whenever an agenda is scored or stolen, do 1 net damage."
Mti Mwekundu: Life Improved,identity,jinteki,ka,"Whenever the Runner approaches a server, you may install 1 piece of ice from HQ in the innermost position protecting that server, ignoring all costs. The Runner moves to that ice and approaches it. If this is not the first time they have approached a piece of ice this run, they may jack out. Use this ability only once per turn."
Nisei Division: The Next Generation,identity,jinteki,hap,"Whenever you and the Runner reveal secretly spent credits, gain 1 credit."
Braintrust,agenda,jinteki,wla,"When you score Braintrust, place 1 agenda counter on it for every 2 advancement tokens on it over 3. The rez cost of all ice is lowered by 1 for each agenda counter on Braintrust."
Genetic Resequencing,agenda,jinteki,val,"When you score Genetic Resequencing, you may place 1 agenda counter on an agenda in your score area."
House of Knives,agenda,jinteki,hap,"When you score this agenda, place 3 agenda counters on it. Hosted agenda counter: Do 1 net damage. Use this ability only during a run and only once per run."
Mandatory Seed Replacement,agenda,jinteki,fm,"When you score Mandatory Seed Replacement, rearrange any number of ice protecting all servers."
Medical Breakthrough,agenda,jinteki,hap,"Lower the advancement requirement of each Medical Breakthrough by 1. This ability is active even while Medical Breakthrough is in the Runner's score area."
Nisei MK II,agenda,jinteki,core,"When you score this agenda, place 1 agenda counter on it. Hosted agenda counter: End the run."
Project Kusanagi,agenda,jinteki,es,"When you score Project Kusanagi, place 1 agenda counter on it for each advancement token on it over 2. Hosted agenda counter: Choose 1 piece of ice to gain 'Subroutine Do 1 net damage.' after all its other subroutines for the remainder of this run."
Viral Weaponization,agenda,jinteki,win,"When the turn on which you scored Viral Weaponization ends, do 1 net damage for each card in the grip."
An Offer You Can't Refuse,operation,jinteki,oh,"Choose a central server. The Runner may run that server. They cannot jack out during that run. If no run is made this way, add this operation to your score area as an agenda worth 1 agenda point."
Celebrity Gift,operation,jinteki,om,"As an additional cost to play this operation, spend click. Reveal up to 5 cards in HQ. Gain 2 credits for each card you revealed this way."
Hangeki,operation,jinteki,rar,"Play only if the Runner trashed a Corp card during their last turn and you have at least 1 installed card. Choose 1 of your installed cards. The Runner may access that card. If they do, remove this operation from the game; otherwise, add this operation to the Runner's score area as an agenda worth -1 agenda point."
Medical Research Fundraiser,operation,jinteki,hap,"Gain 8 credits. The Runner gains 3 credits."
Mutate,operation,jinteki,up,"As an additional cost to play this operation, trash a rezzed piece of ice. Reveal cards from the top of R&D until you reveal a piece of ice. Install and rez that ice in the same position as the ice that was trashed, ignoring all costs. Shuffle R&D."
Neural EMP,operation,jinteki,core,"Play only if the Runner made a run during their last turn. Do 1 net damage."
Shipment from Tennin,operation,jinteki,baw,"Play only if the Runner did not make a successful run during their last turn. Place 2 advancement counters on 1 installed card."
Trick of Light,operation,jinteki,ta,"Choose 1 installed card you can advance. Move up to 2 advancement counters from 1 other card to the chosen card."
Voter Intimidation,operation,jinteki,ftm,"Play only if there is an agenda in the Runner's score area. You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, trash 1 resource."
API-S Keeper Isobel,asset,jinteki,rar,"When your turn begins, you may remove an advancement token from an installed card to gain 3 credits."
Breached Dome,asset,jinteki,cd,"While the Runner is accessing this asset in R&D, they must reveal it. When the Runner accesses this asset, do 1 meat damage and trash the top card of the stack."
Chairman Hiro,asset,jinteki,hap,"The Runner gets -2 maximum hand size.
When this asset is trashed from anywhere while being accessed, add it to the Runner's score area as an agenda worth 2 agenda points."
Hostile Infrastructure,asset,jinteki,atr,"Whenever the Runner trashes a Corp card (including Hostile Infrastructure), do 1 net damage."
Political Dealings,asset,jinteki,dag,"Whenever you draw an agenda, you may reveal and install it."
Project Junebug,asset,jinteki,core,"Project Junebug can be advanced. If you pay 1 credit when the Runner accesses Project Junebug, do 2 net damage for each advancement token on Project Junebug."
Pālanā Agroplex,asset,jinteki,bf,"When your turn begins, each player draws 1 card."
Ronin,asset,jinteki,fp,"You can advance this asset. click, trash: Do 3 net damage. Use this ability only if there are 4 or more hosted advancement counters."
Shock!,asset,jinteki,tc,"While the Runner is accessing this asset in R&D, they must reveal it. When the Runner accesses this asset, do 1 net damage."
Snare!,asset,jinteki,core,"While the Runner is accessing this asset in R&D, they must reveal it. When the Runner accesses this asset anywhere except in Archives, you may pay 4 credits. If you do, give the Runner 1 tag and do 3 net damage."
Synth DNA Modification,asset,jinteki,dc,"The first time a subroutine on a piece of AP ice is broken each turn, do 1 net damage."
Bamboo Dome,upgrade,jinteki,eas,"Install only in the root of R&D. click: Reveal the top 3 cards of R&D. Secretly choose 1 to add to HQ. Return the others to the top of R&D, in any order. Limit 1 region per server."
Code Replicator,upgrade,jinteki,cotc,"Whenever the Runner passes a rezzed piece of ice protecting this server, you may trash this upgrade. If you do, the Runner must approach that ice again. They may jack out."
Georgia Emelyov,upgrade,jinteki,23s,"Whenever the Runner makes an unsuccessful run on this server, do 1 net damage. 2 credits: Move Georgia Emelyov to another server."
Hokusai Grid,upgrade,jinteki,hs,"Whenever the Runner makes a successful run on this server, do 1 net damage. Limit 1 region per server."
Nihongai Grid,upgrade,jinteki,ml,"Whenever the Runner makes a successful run on this server, if they do not have at least 2 cards in the grip and 6 credits, you may look at the top 5 cards of R&D and swap 1 of those cards with 1 card in HQ. Limit 1 region per server."
Tori Hanzō,upgrade,jinteki,hap,"Interrupt -> The first time you would do 1 or more net damage during each run against this server, instead you may pay 2 credits to do 1 core damage."
Ashigaru,ice,jinteki,uao,"Ashigaru gains 'Subroutine End the run.' for each card in HQ."
Clairvoyant Monitor,ice,jinteki,cc,"Subroutine You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, place 1 advancement token on an installed card and end the run."
DNA Tracker,ice,jinteki,es,"Subroutine Do 1 net damage. The Runner loses 2 credits. Subroutine Do 1 net damage. The Runner loses 2 credits. Subroutine Do 1 net damage. The Runner loses 2 credits."
Envelope,ice,jinteki,win,"Subroutine Do 1 net damage. Subroutine End the run."
Himitsu-Bako,ice,jinteki,om,"1 credit: Add Himitsu-Bako to HQ. Subroutine End the run."
It's a Trap!,ice,jinteki,oh,"Whenever this ice is exposed, do 2 net damage. Subroutine The Runner trashes 1 of their installed cards. Trash this ice."
Kakugo,ice,jinteki,dc,"When the Runner passes Kakugo, do 1 net damage. Subroutine End the run."
Lockdown,ice,jinteki,cc,"Subroutine The Runner cannot draw cards for the remainder of this turn."
Lotus Field,ice,jinteki,up,"The strength of this ice cannot be lowered. Subroutine End the run."
Mirāju,ice,jinteki,baw,"Whenever an encounter with this ice ends, if the Runner broke its printed subroutine, the Runner moves to the outermost position of Archives instead of passing this ice. They may jack out. Derez this ice. Subroutine You may draw 1 card. Then, shuffle 1 card from HQ into R&D."
Mlinzi,ice,jinteki,ka,"Subroutine Do 1 net damage unless the Runner trashes the top 2 cards of the stack. Subroutine Do 2 net damage unless the Runner trashes the top 3 cards of the stack. Subroutine Do 3 net damage unless the Runner trashes the top 4 cards of the stack."
Neural Katana,ice,jinteki,core,"Subroutine Do 3 net damage."
Otoroshi,ice,jinteki,rar,"Subroutine You may place up to 3 advancement counters on 1 card installed in the root of a remote server. If you do, the Runner accesses that card unless they pay 3 credits."
Sadaka,ice,jinteki,tdatd,"Subroutine Look at the top 3 cards of R&D and either arrange them in any order or shuffle R&D. You may draw 1 card. Subroutine You may trash 1 card in HQ. If you do, trash 1 resource. Trash Sadaka."
Sensei,ice,jinteki,ta,"Subroutine For the remainder of this run, each piece of ice encountered except Sensei gains 'Subroutine End the run' after all its other subroutines."
Swordsman,ice,jinteki,st,"The Runner cannot break subroutines on this ice using AI programs. Subroutine Trash 1 installed AI program. Subroutine Do 1 net damage."
Thimblerig,ice,jinteki,rar,"When your turn begins and whenever the Runner passes this ice, you may swap this ice with another installed piece of ice. Subroutine End the run."
Wall of Thorns,ice,jinteki,core,"Subroutine Do 2 net damage. Subroutine End the run."
Whirlpool,ice,jinteki,hs,"Subroutine The Runner cannot jack out for the remainder of this run. Trash Whirlpool."
Yagura,ice,jinteki,fal,"Subroutine Look at the top card of R&D. You may add that card to the bottom of R&D. Subroutine Do 1 net damage."
Harishchandra Ent.: Where You're the Star,identity,nbn,ftm,"While the Runner is tagged, they play with the grip revealed."
NBN: Controlling the Message,identity,nbn,23s,"The first time the Runner trashes an installed Corp card each turn, you may trace[4]. If successful, give the Runner 1 tag (cannot be avoided)."
NBN: Making News,identity,nbn,core,"2 recurring credits Use these credits during trace attempts."
New Angeles Sol: Your News,identity,nbn,dad,"Whenever an agenda is scored or stolen, you may play 1 current from HQ or Archives (paying its play cost)."
Degree Mill,agenda,nbn,cotc,"As an additional cost to steal Degree Mill, the Runner must shuffle 2 installed Runner cards into the stack."
Net Quarantine,agenda,nbn,qu,"For the first trace each turn, the Runner's link is treated as 0. (They can still increase their link strength by spending credits.) Whenever the Runner spends credits to increase their link strength, gain 1 credit for every 2 credits they spent."
Project Beale,agenda,nbn,fp,"When you score this agenda, place 1 agenda counter on it for every 2 hosted advancement counters past 3. This agenda is worth 1 more agenda point for each hosted agenda counter."
Puppet Master,agenda,nbn,tlm,"Whenever the Runner makes a successful run, you may place 1 advancement token on a card that can be advanced."
Quantum Predictive Model,agenda,nbn,dad,"While the Runner is accessing this agenda in R&D, they must reveal it. When the Runner accesses this agenda while they are tagged, add it to your score area."
Reeducation,agenda,nbn,baw,"When you score this agenda, you may add X cards from HQ to the bottom of R&D to draw X cards. The Runner adds X cards from the grip at random to the bottom of the stack, if able."
Restructured Datapool,agenda,nbn,wla,"click: Trace[2]. If successful, give the Runner 1 tag."
TGTBT,agenda,nbn,tc,"While the Runner is accessing this agenda in R&D, they must reveal it. When the Runner accesses this agenda, give them 1 tag."
Anonymous Tip,operation,nbn,core,"Draw 3 cards."
Closed Accounts,operation,nbn,core,"Play only if the Runner is tagged. The Runner loses all credits in their credit pool."
Corporate Shuffle,operation,nbn,dt,"As an additional cost to play this operation, spend click. Shuffle all cards in HQ into R&D. Draw 5 cards."
Hatchet Job,operation,nbn,bm,"As an additional cost to play this operation, spend click. Trace[5]. If successful, add an installed non-virtual card to the Runner's grip."
Midseason Replacements,operation,nbn,fp,"Play only if the Runner stole an agenda during their last turn. Trace[6]. If successful, give the Runner X tags. X is equal to the amount by which your trace strength exceeded their link strength."
Predictive Algorithm,operation,nbn,val,"This card is not trashed until another current is played or an agenda is stolen. As an additional cost to steal an agenda, the Runner must pay 2 credits."
Psychographics,operation,nbn,core,"X must be equal to or less than the number of tags the Runner has. Place X advancement counters on 1 installed card you can advance."
SEA Source,operation,nbn,core,"Play only if the Runner made a successful run during their last turn. Trace[3]. If successful, give the Runner 1 tag."
Self-Growth Program,operation,nbn,ss,"Play only if the Runner is tagged. Add 2 installed Runner cards to the grip."
Service Outage,operation,nbn,es,"This operation is not trashed until another current is played or an agenda is stolen. As an additional cost to run for the first time during their turn, the Runner must spend 1 credit."
Special Report,operation,nbn,bm,"Shuffle any number of cards from HQ into R&D. Draw that number of cards."
Sweeps Week,operation,nbn,tc,"Gain 1 credit for each card in the Runner's grip."
Targeted Marketing,operation,nbn,tsb,"This card is not trashed until another current is played or an agenda is stolen. Name a card. Gain 10 credits whenever the Runner plays or installs a copy of that card."
Threat Assessment,operation,nbn,dtwn,"Play only if the Runner trashed a Corp card during their last turn and the Runner has at least 1 installed card. Choose 1 installed Runner card. The Runner must take 2 tags or add that card to the top of the stack. Remove this operation from the game."
Alexa Belsky,asset,nbn,es,"trash: Shuffle all cards in HQ into R&D. The Runner may pay any number of credits to prevent 1 random card in HQ from being shuffled into R&D for every 2 credits spent."
Aryabhata Tech,asset,nbn,si,"Whenever there is a successful trace, gain 1 credit and the Runner loses 1 credit."
CPC Generator,asset,nbn,so,"The first time the Runner spends click to gain 1 credit each turn (not through a card effect), gain 1 credit."
City Surveillance,asset,nbn,mt,"When the Runner's turn begins, give them 1 tag unless they pay 1 credit."
Early Premiere,asset,nbn,oh,"When your turn begins, you may pay 1 credit. If you do, place 1 advancement counter on a card you can advance in the root of a server."
Ghost Branch,asset,nbn,core,"Ghost Branch can be advanced. When the Runner accesses Ghost Branch, you may give the Runner 1 tag for each advancement token on Ghost Branch."
Lily Lockwell,asset,nbn,dad,"When you rez Lily Lockwell, draw 3 cards. click, remove 1 tag: Search R&D for an operation, reveal it, and shuffle the rest of R&D. Add the operation to the top of R&D."
Net Analytics,asset,nbn,dc,"Whenever the Runner avoids or removes 1 or more tags, you may draw 1 card."
Net Police,asset,nbn,asis,"X recurring credits Use these credits during traces. X is the number of links the Runner has."
Reality Threedee,asset,nbn,dad,"When you rez Reality Threedee, take 1 bad publicity. When your turn begins, gain 1 credit (or 2 credits if the Runner is tagged)."
Shannon Claire,asset,nbn,dad,"click: Draw 1 card from the bottom of R&D. trash: Search R&D or Archives for an agenda and reveal it. Shuffle the rest of R&D if you searched it. Add the agenda to the bottom of R&D."
Arella Salvatore,upgrade,nbn,rar,"Whenever an agenda is scored from this server, you may install a card from HQ, ignoring all costs, and place 1 advancement token on it."
Bernice Mai,upgrade,nbn,hs,"Whenever there is a successful run on this server, Trace[5]. If successful, give the Runner 1 tag. If unsuccessful, trash Bernice Mai."
ChiLo City Grid,upgrade,nbn,ta,"Whenever there is a successful trace during a run on this server, give the Runner 1 tag. Limit 1 region per server."
Drone Screen,upgrade,nbn,in,"If the Runner is tagged, Drone Screen gains 'Whenever the Runner initiates a run on this server, Trace[3]. If successful, do 1 meat damage (cannot be prevented).'"
Red Herrings,upgrade,nbn,core,"Persistent -> As an additional cost to steal an agenda from this server or its root, the Runner must pay 5 credits. (If the Runner trashes this card while accessing it, this ability still applies for the remainder of this run.)"
Traffic Analyzer,upgrade,nbn,baw,"Whenever you rez a piece of ice protecting this server, Trace[2]. If successful, the Corp gains 1 credit."
Authenticator,ice,nbn,eas,"When the Runner encounters this ice, they may take 1 tag to bypass it. Subroutine The Corp gains 2 credits. Subroutine End the run."
Data Hound,ice,nbn,hs,"Subroutine Trace[2]. If successful, look at the top X cards of the stack, where X is equal to the amount by which your trace strength exceeded the Runner's link strength. Trash 1 of those cards and arrange the rest in any order."
Data Raven,ice,nbn,core,"When the Runner encounters this ice, they must take 1 tag or end the run. Hosted power counter: Give the Runner 1 tag. Subroutine Trace[3]. If successful, place 1 power counter on this ice."
Data Ward,ice,nbn,in,"When the Runner encounters this ice, they take 1 tag unless they pay 3 credits. Subroutine End the run if the Runner is tagged. Subroutine End the run if the Runner is tagged. Subroutine End the run if the Runner is tagged. Subroutine End the run if the Runner is tagged."
Flare,ice,nbn,fp,"Subroutine Trace[6]. If successful, trash 1 piece of hardware, do 2 meat damage (cannot be prevented), and end the run."
Herald,ice,nbn,qu,"While the Runner is accessing this ice in R&D, they must reveal it. When the Runner accesses this ice anywhere except in Archives, they encounter it. Subroutine Gain 2 credits. Subroutine You may pay up to 2 credits to place that many advancement counters on 1 installed card you can advance."
Jua,ice,nbn,dtwn,"When the Runner encounters this ice, they cannot install cards for the remainder of the turn. Subroutine Choose 2 installed Runner cards, if able. The Runner must add 1 of the chosen cards to the top of the stack."
Little Engine,ice,nbn,cc,"Subroutine End the run. Subroutine End the run. Subroutine The Runner gains 5 credits."
